Seizoen;Datum;Thuisclub;Uitclub;Thuisscore;Uitscore
2010-2011;08/08/2010;Feyenoord;FC Utrecht;3;1
2010-2011;08/08/2010;NAC Breda;AZ;1;1
2010-2011;08/08/2010;Vitesse;ADO Den Haag;3;1
2010-2011;14/08/2010;Ajax;Vitesse;4;2
2010-2011;14/08/2010;AZ;FC Groningen;1;1
2010-2011;14/08/2010;FC Twente;SC Heerenveen;0;0
2010-2011;14/08/2010;PSV;De Graafschap;6;0
2010-2011;14/08/2010;VVV-Venlo;Heracles Almelo;1;0
2010-2011;15/08/2010;ADO Den Haag;Roda JC;1;3
2010-2011;15/08/2010;Excelsior;Feyenoord;3;2
2010-2011;15/08/2010;FC Utrecht;NAC Breda;3;1
2010-2011;15/08/2010;Willem II;NEC;3;5
2010-2011;20/08/2010;Excelsior;NEC;4;2
2010-2011;21/08/2010;Ajax;Roda JC;3;0
2010-2011;21/08/2010;FC Groningen;De Graafschap;2;1
2010-2011;21/08/2010;SC Heerenveen;NAC Breda;3;1
2010-2011;21/08/2010;Vitesse;FC Twente;0;3
2010-2011;22/08/2010;FC Utrecht;Willem II;3;0
2010-2011;22/08/2010;Heracles Almelo;Feyenoord;1;1
2010-2011;22/08/2010;PSV;AZ;3;1
2010-2011;22/08/2010;VVV-Venlo;ADO Den Haag;2;3
2010-2011;27/08/2010;Willem II;FC Groningen;0;3
2010-2011;28/08/2010;NAC Breda;VVV-Venlo;2;0
2010-2011;28/08/2010;NEC;SC Heerenveen;2;2
2010-2011;28/08/2010;Roda JC;Heracles Almelo;4;2
2010-2011;29/08/2010;ADO Den Haag;PSV;2;2
2010-2011;29/08/2010;AZ;Excelsior;1;1
2010-2011;29/08/2010;De Graafschap;Ajax;0;5
2010-2011;29/08/2010;FC Twente;FC Utrecht;4;0
2010-2011;29/08/2010;Feyenoord;Vitesse;4;0
2010-2011;11/09/2010;Ajax;Willem II;2;0
2010-2011;11/09/2010;AZ;Roda JC;1;2
2010-2011;11/09/2010;Excelsior;Heracles Almelo;2;1
2010-2011;11/09/2010;PSV;NEC;3;1
2010-2011;11/09/2010;SC Heerenveen;Vitesse;2;1
2010-2011;11/09/2010;VVV-Venlo;FC Twente;1;2
2010-2011;12/09/2010;ADO Den Haag;De Graafschap;2;2
2010-2011;12/09/2010;FC Groningen;FC Utrecht;1;0
2010-2011;12/09/2010;NAC Breda;Feyenoord;2;0
2010-2011;17/09/2010;De Graafschap;SC Heerenveen;3;2
2010-2011;18/09/2010;FC Groningen;Excelsior;2;0
2010-2011;18/09/2010;Vitesse;NAC Breda;0;0
2010-2011;18/09/2010;Willem II;ADO Den Haag;2;4
2010-2011;19/09/2010;FC Utrecht;VVV-Venlo;3;2
2010-2011;19/09/2010;Feyenoord;Ajax;1;2
2010-2011;19/09/2010;Heracles Almelo;FC Twente;0;0
2010-2011;19/09/2010;NEC;AZ;0;1
2010-2011;19/09/2010;Roda JC;PSV;0;0
2010-2011;25/09/2010;ADO Den Haag;Heracles Almelo;3;2
2010-2011;25/09/2010;AZ;FC Utrecht;1;0
2010-2011;25/09/2010;FC Twente;Ajax;2;2
2010-2011;25/09/2010;PSV;FC Groningen;1;1
2010-2011;25/09/2010;SC Heerenveen;Roda JC;2;2
2010-2011;26/09/2010;Excelsior;Vitesse;0;2
2010-2011;26/09/2010;NAC Breda;Willem II;2;1
2010-2011;26/09/2010;NEC;Feyenoord;3;0
2010-2011;26/09/2010;VVV-Venlo;De Graafschap;1;0
2010-2011;01/10/2010;Vitesse;Willem II;0;0
2010-2011;02/10/2010;Excelsior;Roda JC;1;2
2010-2011;02/10/2010;NAC Breda;NEC;2;0
2010-2011;03/10/2010;Ajax;FC Utrecht;1;2
2010-2011;03/10/2010;AZ;Heracles Almelo;2;1
2010-2011;03/10/2010;De Graafschap;Feyenoord;1;1
2010-2011;03/10/2010;FC Twente;FC Groningen;4;2
2010-2011;03/10/2010;PSV;VVV-Venlo;3;0
2010-2011;03/10/2010;SC Heerenveen;ADO Den Haag;0;0
2010-2011;16/10/2010;ADO Den Haag;Excelsior;2;1
2010-2011;16/10/2010;Ajax;NAC Breda;3;0
2010-2011;16/10/2010;FC Utrecht;De Graafschap;2;2
2010-2011;16/10/2010;Feyenoord;FC Twente;0;1
2010-2011;16/10/2010;VVV-Venlo;AZ;0;1
2010-2011;17/10/2010;FC Groningen;SC Heerenveen;1;0
2010-2011;17/10/2010;Heracles Almelo;NEC;3;2
2010-2011;17/10/2010;Roda JC;Vitesse;4;1
2010-2011;17/10/2010;Willem II;PSV;2;4
2010-2011;22/10/2010;NAC Breda;Roda JC;1;2
2010-2011;23/10/2010;De Graafschap;Heracles Almelo;1;1
2010-2011;23/10/2010;NEC;FC Groningen;3;2
2010-2011;23/10/2010;SC Heerenveen;VVV-Venlo;2;0
2010-2011;24/10/2010;AZ;Willem II;3;0
2010-2011;24/10/2010;Excelsior;Ajax;2;2
2010-2011;24/10/2010;FC Twente;ADO Den Haag;3;2
2010-2011;24/10/2010;PSV;Feyenoord;10;0
2010-2011;24/10/2010;Vitesse;FC Utrecht;1;4
2010-2011;26/10/2010;Heracles Almelo;NAC Breda;4;1
2010-2011;26/10/2010;Roda JC;NEC;1;1
2010-2011;27/10/2010;Ajax;SC Heerenveen;3;1
2010-2011;27/10/2010;De Graafschap;AZ;2;1
2010-2011;27/10/2010;FC Groningen;ADO Den Haag;3;1
2010-2011;27/10/2010;FC Utrecht;Excelsior;2;0
2010-2011;27/10/2010;Feyenoord;VVV-Venlo;3;0
2010-2011;27/10/2010;Vitesse;PSV;0;2
2010-2011;27/10/2010;Willem II;FC Twente;1;3
2010-2011;30/10/2010;Excelsior;SC Heerenveen;0;2
2010-2011;30/10/2010;Heracles Almelo;Ajax;1;4
2010-2011;30/10/2010;NAC Breda;De Graafschap;2;0
2010-2011;30/10/2010;PSV;FC Twente;0;1
2010-2011;30/10/2010;VVV-Venlo;FC Groningen;3;5
2010-2011;31/10/2010;ADO Den Haag;FC Utrecht;1;0
2010-2011;31/10/2010;AZ;Feyenoord;2;1
2010-2011;31/10/2010;NEC;Vitesse;0;0
2010-2011;31/10/2010;Roda JC;Willem II;2;2
2010-2011;05/11/2010;Willem II;VVV-Venlo;1;4
2010-2011;06/11/2010;De Graafschap;NEC;1;4
2010-2011;06/11/2010;FC Groningen;NAC Breda;2;1
2010-2011;06/11/2010;FC Twente;Excelsior;2;1
2010-2011;06/11/2010;SC Heerenveen;Heracles Almelo;3;2
2010-2011;07/11/2010;Ajax;ADO Den Haag;0;1
2010-2011;07/11/2010;FC Utrecht;PSV;1;2
2010-2011;07/11/2010;Feyenoord;Roda JC;1;1
2010-2011;07/11/2010;Vitesse;AZ;1;1
2010-2011;13/11/2010;NAC Breda;FC Twente;2;1
2010-2011;13/11/2010;PSV;Excelsior;4;2
2010-2011;14/11/2010;AZ;Ajax;2;0
2010-2011;14/11/2010;Feyenoord;SC Heerenveen;2;2
2010-2011;14/11/2010;Heracles Almelo;FC Groningen;3;0
2010-2011;14/11/2010;NEC;ADO Den Haag;1;1
2010-2011;14/11/2010;VVV-Venlo;Vitesse;1;5
2010-2011;20/11/2010;Ajax;PSV;0;0
2010-2011;20/11/2010;De Graafschap;Roda JC;3;1
2010-2011;20/11/2010;Excelsior;VVV-Venlo;1;0
2010-2011;20/11/2010;FC Twente;AZ;1;2
2010-2011;20/11/2010;Vitesse;Heracles Almelo;2;0
2010-2011;21/11/2010;ADO Den Haag;NAC Breda;3;0
2010-2011;21/11/2010;FC Groningen;Feyenoord;2;0
2010-2011;21/11/2010;FC Utrecht;NEC;4;0
2010-2011;21/11/2010;SC Heerenveen;Willem II;5;0
2010-2011;24/11/2010;Roda JC;FC Utrecht;1;1
2010-2011;24/11/2010;Willem II;De Graafschap;0;1
2010-2011;26/11/2010;NAC Breda;PSV;4;2
2010-2011;27/11/2010;AZ;SC Heerenveen;2;2
2010-2011;27/11/2010;NEC;FC Twente;2;4
2010-2011;27/11/2010;Roda JC;FC Groningen;1;0
2010-2011;27/11/2010;Willem II;Excelsior;1;1
2010-2011;28/11/2010;De Graafschap;Vitesse;1;1
2010-2011;28/11/2010;Feyenoord;ADO Den Haag;2;1
2010-2011;28/11/2010;Heracles Almelo;FC Utrecht;2;1
2010-2011;28/11/2010;VVV-Venlo;Ajax;0;2
2010-2011;03/12/2010;FC Groningen;Vitesse;4;1
2010-2011;04/12/2010;Ajax;NEC;1;1
2010-2011;04/12/2010;FC Twente;De Graafschap;2;0
2010-2011;04/12/2010;PSV;Heracles Almelo;5;2
2010-2011;05/12/2010;ADO Den Haag;AZ;0;2
2010-2011;05/12/2010;FC Utrecht;SC Heerenveen;2;1
2010-2011;05/12/2010;Willem II;Feyenoord;1;1
2010-2011;10/12/2010;Heracles Almelo;VVV-Venlo;2;2
2010-2011;11/12/2010;De Graafschap;PSV;0;0
2010-2011;11/12/2010;NAC Breda;FC Utrecht;3;1
2010-2011;11/12/2010;NEC;Willem II;3;1
2010-2011;11/12/2010;Roda JC;ADO Den Haag;1;1
2010-2011;12/12/2010;FC Groningen;AZ;2;0
2010-2011;12/12/2010;Feyenoord;Excelsior;1;0
2010-2011;12/12/2010;SC Heerenveen;FC Twente;6;2
2010-2011;12/12/2010;Vitesse;Ajax;0;1
2010-2011;14/12/2010;VVV-Venlo;Roda JC;0;4
2010-2011;15/12/2010;Excelsior;NAC Breda;1;3
2010-2011;18/12/2010;ADO Den Haag;Willem II;2;1
2010-2011;18/12/2010;Excelsior;FC Groningen;2;2
2010-2011;18/12/2010;NAC Breda;Vitesse;1;1
2010-2011;18/12/2010;SC Heerenveen;De Graafschap;4;0
2010-2011;19/12/2010;PSV;Roda JC;3;1
2010-2011;19/01/2011;Ajax;Feyenoord;2;0
2010-2011;19/01/2011;AZ;NEC;2;2
2010-2011;19/01/2011;FC Twente;Heracles Almelo;5;0
2010-2011;19/01/2011;VVV-Venlo;FC Utrecht;1;2
2010-2011;21/01/2011;ADO Den Haag;SC Heerenveen;3;1
2010-2011;22/01/2011;Feyenoord;De Graafschap;0;1
2010-2011;22/01/2011;Heracles Almelo;AZ;0;0
2010-2011;22/01/2011;NEC;NAC Breda;2;2
2010-2011;22/01/2011;Willem II;Vitesse;1;0
2010-2011;23/01/2011;FC Groningen;FC Twente;1;2
2010-2011;23/01/2011;FC Utrecht;Ajax;3;0
2010-2011;23/01/2011;Roda JC;Excelsior;3;0
2010-2011;23/01/2011;VVV-Venlo;PSV;0;3
2010-2011;28/01/2011;NEC;Heracles Almelo;1;1
2010-2011;29/01/2011;AZ;VVV-Venlo;6;1
2010-2011;29/01/2011;PSV;Willem II;2;1
2010-2011;29/01/2011;Vitesse;Roda JC;5;2
2010-2011;30/01/2011;Excelsior;ADO Den Haag;1;5
2010-2011;30/01/2011;FC Twente;Feyenoord;2;1
2010-2011;30/01/2011;NAC Breda;Ajax;0;3
2010-2011;30/01/2011;SC Heerenveen;FC Groningen;1;4
2010-2011;01/02/2011;De Graafschap;FC Utrecht;0;0
2010-2011;04/02/2011;Ajax;De Graafschap;2;0
2010-2011;05/02/2011;Excelsior;AZ;2;1
2010-2011;05/02/2011;PSV;ADO Den Haag;0;1
2010-2011;05/02/2011;SC Heerenveen;NEC;0;0
2010-2011;05/02/2011;VVV-Venlo;NAC Breda;3;0
2010-2011;06/02/2011;FC Groningen;Willem II;7;1
2010-2011;06/02/2011;FC Utrecht;FC Twente;1;1
2010-2011;06/02/2011;Heracles Almelo;Roda JC;1;0
2010-2011;06/02/2011;Vitesse;Feyenoord;1;1
2010-2011;12/02/2011;ADO Den Haag;VVV-Venlo;3;0
2010-2011;12/02/2011;AZ;PSV;0;4
2010-2011;12/02/2011;FC Twente;Vitesse;1;0
2010-2011;12/02/2011;Feyenoord;Heracles Almelo;2;1
2010-2011;12/02/2011;Willem II;FC Utrecht;3;3
2010-2011;13/02/2011;De Graafschap;FC Groningen;1;1
2010-2011;13/02/2011;NAC Breda;SC Heerenveen;0;2
2010-2011;13/02/2011;NEC;Excelsior;2;0
2010-2011;13/02/2011;Roda JC;Ajax;2;2
2010-2011;18/02/2011;FC Utrecht;Heracles Almelo;1;1
2010-2011;19/02/2011;Excelsior;Willem II;4;0
2010-2011;19/02/2011;FC Groningen;Roda JC;1;4
2010-2011;19/02/2011;SC Heerenveen;AZ;0;2
2010-2011;20/02/2011;ADO Den Haag;Feyenoord;2;2
2010-2011;20/02/2011;Ajax;VVV-Venlo;1;0
2010-2011;20/02/2011;FC Twente;NEC;1;1
2010-2011;20/02/2011;PSV;NAC Breda;4;1
2010-2011;20/02/2011;Vitesse;De Graafschap;2;0
2010-2011;25/02/2011;VVV-Venlo;Excelsior;1;0
2010-2011;26/02/2011;Heracles Almelo;Vitesse;6;1
2010-2011;26/02/2011;NAC Breda;ADO Den Haag;3;2
2010-2011;26/02/2011;Roda JC;De Graafschap;1;1
2010-2011;26/02/2011;Willem II;SC Heerenveen;4;3
2010-2011;27/02/2011;AZ;FC Twente;2;1
2010-2011;27/02/2011;Feyenoord;FC Groningen;5;1
2010-2011;27/02/2011;NEC;FC Utrecht;1;1
2010-2011;27/02/2011;PSV;Ajax;0;0
2010-2011;04/03/2011;De Graafschap;Willem II;2;1
2010-2011;05/03/2011;ADO Den Haag;NEC;5;1
2010-2011;05/03/2011;Excelsior;PSV;2;3
2010-2011;05/03/2011;FC Twente;NAC Breda;2;0
2010-2011;05/03/2011;Vitesse;VVV-Venlo;2;0
2010-2011;06/03/2011;Ajax;AZ;4;0
2010-2011;06/03/2011;FC Groningen;Heracles Almelo;1;4
2010-2011;06/03/2011;FC Utrecht;Roda JC;1;1
2010-2011;06/03/2011;SC Heerenveen;Feyenoord;0;1
2010-2011;11/03/2011;FC Utrecht;FC Groningen;1;0
2010-2011;12/03/2011;Heracles Almelo;Excelsior;4;1
2010-2011;12/03/2011;Roda JC;AZ;1;2
2010-2011;12/03/2011;Vitesse;SC Heerenveen;1;1
2010-2011;13/03/2011;De Graafschap;ADO Den Haag;1;0
2010-2011;13/03/2011;FC Twente;VVV-Venlo;2;1
2010-2011;13/03/2011;Feyenoord;NAC Breda;2;1
2010-2011;13/03/2011;NEC;PSV;2;2
2010-2011;13/03/2011;Willem II;Ajax;1;3
2010-2011;18/03/2011;AZ;Vitesse;3;1
2010-2011;19/03/2011;Heracles Almelo;SC Heerenveen;4;2
2010-2011;19/03/2011;NAC Breda;FC Groningen;0;1
2010-2011;19/03/2011;NEC;De Graafschap;1;0
2010-2011;19/03/2011;VVV-Venlo;Willem II;0;0
2010-2011;20/03/2011;ADO Den Haag;Ajax;3;2
2010-2011;20/03/2011;Excelsior;FC Twente;0;2
2010-2011;20/03/2011;PSV;FC Utrecht;1;0
2010-2011;20/03/2011;Roda JC;Feyenoord;3;0
2010-2011;02/04/2011;De Graafschap;NAC Breda;1;3
2010-2011;02/04/2011;FC Twente;PSV;2;0
2010-2011;02/04/2011;Feyenoord;AZ;0;1
2010-2011;02/04/2011;SC Heerenveen;Excelsior;2;3
2010-2011;02/04/2011;Willem II;Roda JC;4;5
2010-2011;03/04/2011;Ajax;Heracles Almelo;3;0
2010-2011;03/04/2011;FC Groningen;VVV-Venlo;3;2
2010-2011;03/04/2011;FC Utrecht;ADO Den Haag;2;3
2010-2011;03/04/2011;Vitesse;NEC;2;1
2010-2011;08/04/2011;AZ;NAC Breda;1;1
2010-2011;09/04/2011;ADO Den Haag;Vitesse;1;0
2010-2011;09/04/2011;Excelsior;De Graafschap;0;0
2010-2011;09/04/2011;VVV-Venlo;NEC;1;4
2010-2011;09/04/2011;Willem II;Heracles Almelo;2;6
2010-2011;10/04/2011;Ajax;FC Groningen;2;0
2010-2011;10/04/2011;FC Twente;Roda JC;1;1
2010-2011;10/04/2011;FC Utrecht;Feyenoord;0;4
2010-2011;10/04/2011;PSV;SC Heerenveen;2;2
2010-2011;15/04/2011;SC Heerenveen;FC Utrecht;3;0
2010-2011;16/04/2011;AZ;ADO Den Haag;3;1
2010-2011;16/04/2011;NAC Breda;Excelsior;1;2
2010-2011;16/04/2011;Roda JC;VVV-Venlo;5;2
2010-2011;16/04/2011;Vitesse;FC Groningen;2;1
2010-2011;17/04/2011;De Graafschap;FC Twente;1;1
2010-2011;17/04/2011;Feyenoord;Willem II;6;1
2010-2011;17/04/2011;Heracles Almelo;PSV;0;2
2010-2011;17/04/2011;NEC;Ajax;1;2
2010-2011;22/04/2011;ADO Den Haag;FC Twente;1;2
2010-2011;23/04/2011;Heracles Almelo;De Graafschap;2;0
2010-2011;23/04/2011;Roda JC;NAC Breda;5;1
2010-2011;23/04/2011;VVV-Venlo;SC Heerenveen;2;2
2010-2011;23/04/2011;Willem II;AZ;2;1
2010-2011;24/04/2011;Ajax;Excelsior;4;1
2010-2011;24/04/2011;FC Groningen;NEC;3;1
2010-2011;24/04/2011;FC Utrecht;Vitesse;4;2
2010-2011;24/04/2011;Feyenoord;PSV;3;1
2010-2011;01/05/2011;ADO Den Haag;FC Groningen;2;4
2010-2011;01/05/2011;AZ;De Graafschap;5;1
2010-2011;01/05/2011;Excelsior;FC Utrecht;3;1
2010-2011;01/05/2011;FC Twente;Willem II;4;0
2010-2011;01/05/2011;NAC Breda;Heracles Almelo;1;2
2010-2011;01/05/2011;NEC;Roda JC;5;0
2010-2011;01/05/2011;PSV;Vitesse;2;1
2010-2011;01/05/2011;SC Heerenveen;Ajax;1;2
2010-2011;01/05/2011;VVV-Venlo;Feyenoord;3;2
2010-2011;15/05/2011;Ajax;FC Twente;3;1
2010-2011;15/05/2011;De Graafschap;VVV-Venlo;1;0
2010-2011;15/05/2011;FC Groningen;PSV;0;0
2010-2011;15/05/2011;FC Utrecht;AZ;5;1
2010-2011;15/05/2011;Feyenoord;NEC;1;1
2010-2011;15/05/2011;Heracles Almelo;ADO Den Haag;3;0
2010-2011;15/05/2011;Roda JC;SC Heerenveen;0;0
2010-2011;15/05/2011;Vitesse;Excelsior;1;4
2010-2011;15/05/2011;Willem II;NAC Breda;0;1
2011-2012;05/08/2011;Excelsior;Feyenoord;0;2
2011-2012;06/08/2011;RKC Waalwijk;Heracles Almelo;2;2
2011-2012;06/08/2011;Roda JC;FC Groningen;2;1
2011-2012;06/08/2011;SC Heerenveen;NEC;2;2
2011-2012;06/08/2011;VVV-Venlo;FC Utrecht;0;0
2011-2012;07/08/2011;ADO Den Haag;Vitesse;0;0
2011-2012;07/08/2011;AZ;PSV;3;1
2011-2012;07/08/2011;De Graafschap;Ajax;1;4
2011-2012;07/08/2011;NAC Breda;FC Twente;0;1
2011-2012;13/08/2011;FC Twente;AZ;2;0
2011-2012;13/08/2011;Feyenoord;Roda JC;3;0
2011-2012;13/08/2011;PSV;RKC Waalwijk;1;0
2011-2012;13/08/2011;Vitesse;VVV-Venlo;4;0
2011-2012;14/08/2011;Ajax;SC Heerenveen;5;1
2011-2012;14/08/2011;FC Groningen;ADO Den Haag;4;2
2011-2012;14/08/2011;FC Utrecht;De Graafschap;2;2
2011-2012;14/08/2011;Heracles Almelo;NAC Breda;2;1
2011-2012;15/08/2011;NEC;Excelsior;2;0
2011-2012;19/08/2011;Roda JC;RKC Waalwijk;0;2
2011-2012;20/08/2011;Excelsior;De Graafschap;1;1
2011-2012;20/08/2011;NAC Breda;FC Groningen;2;2
2011-2012;20/08/2011;SC Heerenveen;FC Twente;1;5
2011-2012;20/08/2011;Vitesse;FC Utrecht;2;1
2011-2012;21/08/2011;ADO Den Haag;PSV;0;3
2011-2012;21/08/2011;AZ;NEC;4;0
2011-2012;21/08/2011;Heracles Almelo;Feyenoord;1;1
2011-2012;21/08/2011;VVV-Venlo;Ajax;2;2
2011-2012;26/08/2011;Ajax;Vitesse;4;1
2011-2012;27/08/2011;De Graafschap;ADO Den Haag;0;3
2011-2012;27/08/2011;FC Twente;VVV-Venlo;4;1
2011-2012;27/08/2011;FC Utrecht;Roda JC;3;1
2011-2012;27/08/2011;NEC;Heracles Almelo;2;1
2011-2012;27/08/2011;RKC Waalwijk;NAC Breda;2;1
2011-2012;28/08/2011;FC Groningen;AZ;0;3
2011-2012;28/08/2011;Feyenoord;SC Heerenveen;2;2
2011-2012;28/08/2011;PSV;Excelsior;6;1
2011-2012;10/09/2011;ADO Den Haag;RKC Waalwijk;0;1
2011-2012;10/09/2011;AZ;Vitesse;4;0
2011-2012;10/09/2011;De Graafschap;NEC;1;0
2011-2012;10/09/2011;Heracles Almelo;Ajax;2;3
2011-2012;10/09/2011;Roda JC;FC Twente;2;1
2011-2012;11/09/2011;Excelsior;FC Utrecht;2;3
2011-2012;11/09/2011;NAC Breda;Feyenoord;1;3
2011-2012;11/09/2011;SC Heerenveen;FC Groningen;3;0
2011-2012;11/09/2011;VVV-Venlo;PSV;3;3
2011-2012;16/09/2011;NEC;NAC Breda;1;2
2011-2012;17/09/2011;FC Groningen;Excelsior;2;0
2011-2012;17/09/2011;Feyenoord;De Graafschap;4;0
2011-2012;17/09/2011;Vitesse;Roda JC;5;0
2011-2012;17/09/2011;VVV-Venlo;SC Heerenveen;0;3
2011-2012;18/09/2011;FC Twente;ADO Den Haag;5;2
2011-2012;18/09/2011;FC Utrecht;Heracles Almelo;2;2
2011-2012;18/09/2011;PSV;Ajax;2;2
2011-2012;18/09/2011;RKC Waalwijk;AZ;1;2
2011-2012;24/09/2011;ADO Den Haag;VVV-Venlo;2;0
2011-2012;24/09/2011;Ajax;FC Twente;1;1
2011-2012;24/09/2011;NAC Breda;FC Utrecht;1;0
2011-2012;24/09/2011;PSV;Roda JC;7;1
2011-2012;24/09/2011;SC Heerenveen;Heracles Almelo;1;1
2011-2012;25/09/2011;AZ;Feyenoord;2;1
2011-2012;25/09/2011;De Graafschap;FC Groningen;2;3
2011-2012;25/09/2011;Excelsior;Vitesse;0;2
2011-2012;25/09/2011;RKC Waalwijk;NEC;2;0
2011-2012;30/09/2011;Heracles Almelo;De Graafschap;2;0
2011-2012;01/10/2011;FC Utrecht;RKC Waalwijk;3;0
2011-2012;01/10/2011;Roda JC;NAC Breda;4;3
2011-2012;01/10/2011;Vitesse;SC Heerenveen;1;1
2011-2012;02/10/2011;FC Groningen;Ajax;1;0
2011-2012;02/10/2011;FC Twente;Excelsior;2;2
2011-2012;02/10/2011;Feyenoord;ADO Den Haag;0;3
2011-2012;02/10/2011;NEC;PSV;0;2
2011-2012;02/10/2011;VVV-Venlo;AZ;1;3
2011-2012;15/10/2011;Ajax;AZ;2;2
2011-2012;15/10/2011;Heracles Almelo;FC Groningen;2;1
2011-2012;15/10/2011;PSV;FC Utrecht;1;0
2011-2012;15/10/2011;RKC Waalwijk;FC Twente;0;4
2011-2012;15/10/2011;SC Heerenveen;De Graafschap;1;1
2011-2012;16/10/2011;Feyenoord;VVV-Venlo;4;0
2011-2012;16/10/2011;NAC Breda;Excelsior;2;0
2011-2012;16/10/2011;NEC;Vitesse;0;1
2011-2012;16/10/2011;Roda JC;ADO Den Haag;4;1
2011-2012;21/10/2011;De Graafschap;NAC Breda;3;1
2011-2012;21/10/2011;VVV-Venlo;RKC Waalwijk;4;1
2011-2012;22/10/2011;ADO Den Haag;NEC;1;0
2011-2012;22/10/2011;Excelsior;Heracles Almelo;0;2
2011-2012;22/10/2011;FC Utrecht;SC Heerenveen;1;4
2011-2012;23/10/2011;Ajax;Feyenoord;1;1
2011-2012;23/10/2011;AZ;Roda JC;1;0
2011-2012;23/10/2011;FC Groningen;FC Twente;1;1
2011-2012;23/10/2011;Vitesse;PSV;1;1
2011-2012;28/10/2011;NAC Breda;VVV-Venlo;3;1
2011-2012;29/10/2011;Excelsior;RKC Waalwijk;1;0
2011-2012;29/10/2011;FC Twente;PSV;2;2
2011-2012;29/10/2011;Roda JC;Ajax;0;4
2011-2012;29/10/2011;SC Heerenveen;ADO Den Haag;4;0
2011-2012;30/10/2011;De Graafschap;Vitesse;0;1
2011-2012;30/10/2011;FC Groningen;Feyenoord;6;0
2011-2012;30/10/2011;Heracles Almelo;AZ;0;1
2011-2012;30/10/2011;NEC;FC Utrecht;3;1
2011-2012;04/11/2011;VVV-Venlo;Excelsior;0;0
2011-2012;05/11/2011;Feyenoord;NEC;0;1
2011-2012;05/11/2011;NAC Breda;Vitesse;1;0
2011-2012;05/11/2011;RKC Waalwijk;FC Groningen;1;1
2011-2012;05/11/2011;Roda JC;SC Heerenveen;1;2
2011-2012;06/11/2011;AZ;ADO Den Haag;3;0
2011-2012;06/11/2011;FC Twente;De Graafschap;4;0
2011-2012;06/11/2011;FC Utrecht;Ajax;6;4
2011-2012;06/11/2011;PSV;Heracles Almelo;4;1
2011-2012;19/11/2011;Ajax;NAC Breda;2;2
2011-2012;19/11/2011;De Graafschap;PSV;1;3
2011-2012;19/11/2011;Heracles Almelo;FC Twente;1;1
2011-2012;19/11/2011;NEC;Roda JC;1;2
2011-2012;19/11/2011;SC Heerenveen;RKC Waalwijk;1;1
2011-2012;20/11/2011;ADO Den Haag;FC Utrecht;2;2
2011-2012;20/11/2011;FC Groningen;VVV-Venlo;2;1
2011-2012;20/11/2011;Vitesse;Feyenoord;0;4
2011-2012;25/11/2011;AZ;FC Utrecht;2;0
2011-2012;26/11/2011;NAC Breda;SC Heerenveen;2;2
2011-2012;26/11/2011;PSV;FC Groningen;6;1
2011-2012;26/11/2011;Roda JC;Heracles Almelo;3;1
2011-2012;26/11/2011;VVV-Venlo;De Graafschap;1;2
2011-2012;27/11/2011;Excelsior;ADO Den Haag;1;1
2011-2012;27/11/2011;FC Twente;Vitesse;0;0
2011-2012;27/11/2011;NEC;Ajax;0;3
2011-2012;27/11/2011;RKC Waalwijk;Feyenoord;1;2
2011-2012;02/12/2011;Heracles Almelo;VVV-Venlo;7;0
2011-2012;03/12/2011;ADO Den Haag;NAC Breda;3;0
2011-2012;03/12/2011;Ajax;Excelsior;4;1
2011-2012;03/12/2011;De Graafschap;Roda JC;1;2
2011-2012;03/12/2011;FC Groningen;NEC;3;3
2011-2012;04/12/2011;FC Utrecht;FC Twente;2;6
2011-2012;04/12/2011;Feyenoord;PSV;2;0
2011-2012;04/12/2011;SC Heerenveen;AZ;5;1
2011-2012;04/12/2011;Vitesse;RKC Waalwijk;4;0
2011-2012;07/12/2011;Excelsior;AZ;0;0
2011-2012;09/12/2011;ADO Den Haag;Heracles Almelo;2;0
2011-2012;10/12/2011;AZ;De Graafschap;4;0
2011-2012;10/12/2011;Excelsior;SC Heerenveen;0;5
2011-2012;10/12/2011;FC Twente;NEC;2;0
2011-2012;10/12/2011;PSV;NAC Breda;1;0
2011-2012;11/12/2011;FC Utrecht;Feyenoord;2;2
2011-2012;11/12/2011;RKC Waalwijk;Ajax;0;1
2011-2012;11/12/2011;Vitesse;FC Groningen;0;0
2011-2012;11/12/2011;VVV-Venlo;Roda JC;2;0
2011-2012;16/12/2011;De Graafschap;RKC Waalwijk;1;3
2011-2012;17/12/2011;FC Groningen;FC Utrecht;1;0
2011-2012;17/12/2011;Heracles Almelo;Vitesse;0;1
2011-2012;17/12/2011;NEC;VVV-Venlo;2;0
2011-2012;17/12/2011;Roda JC;Excelsior;7;0
2011-2012;18/12/2011;Ajax;ADO Den Haag;4;0
2011-2012;18/12/2011;Feyenoord;FC Twente;3;2
2011-2012;18/12/2011;NAC Breda;AZ;2;1
2011-2012;18/12/2011;SC Heerenveen;PSV;1;5
2011-2012;20/01/2012;ADO Den Haag;Roda JC;3;3
2011-2012;21/01/2012;De Graafschap;SC Heerenveen;0;2
2011-2012;21/01/2012;Excelsior;NAC Breda;3;0
2011-2012;21/01/2012;FC Twente;RKC Waalwijk;5;0
2011-2012;22/01/2012;AZ;Ajax;1;1
2011-2012;22/01/2012;FC Groningen;Heracles Almelo;2;1
2011-2012;22/01/2012;FC Utrecht;PSV;1;1
